id,sportsbook,event_id,sport,league,home_team,away_team,market_type,selection,selection_type,odds_american,odds_decimal,odds_probability,line,event_start_time,is_live,timestamp
229760816026382,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,1st_5_innings_run_line,San Francisco Giants,home,-186,1.538,0.6503,0.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
240697728514372,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,1st_5_innings_run_line,San Francisco Giants,home,-102,1.98,0.505,-0.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
265398977494574,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,1st_5_innings_run_line,Colorado Rockies,away,-163,1.613,0.6198,1,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
83128738943450,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,1st_5_innings_run_line,Colorado Rockies,away,150,2.5,0.4,-0.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
122748239078889,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,1st_5_innings_total_runs,Over,over,-119,1.84,0.5434,5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
123460649398250,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,1st_5_innings_total_runs,Over,over,-152,1.658,0.6032,4.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
231946282314295,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,1st_5_innings_total_runs,Under,under,-106,1.943,0.5146,2,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
248467010928685,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,1st_5_innings_total_runs,Over,over,107,2.07,0.4831,5.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
267209830656571,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,1st_5_innings_total_runs,Under,under,-102,1.98,0.505,5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
274141167880372,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,1st_5_innings_total_runs,Under,under,-130,1.769,0.5652,5.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
79263836903964,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,1st_5_innings_total_runs,Under,under,125,2.25,0.4444,4.5,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
84789356236553,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,1st_5_innings_total_runs,Over,over,-115,1.87,0.5349,2,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
119321771120542,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,2nd_half_moneyline,Colorado Rockies,away,-103,1.971,0.5074,,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
270062875556125,bookmaker,mlb_giants_rockies_2026-07-12_b2,baseball,mlb,San Francisco Giants,Colorado Rockies,2nd_half_moneyline,San Francisco Giants,home,-116,1.862,0.537,,2026-07-12T20:05:00Z,False,2026-07-13T01:45:57.089592192Z
